vat,issue_date,due_date,repayment_date,amount
CHE-210.703.637,04/11/2015,06/11/2015,,12923.3
CHE-109.793.257,04/13/2015,05/22/2015,05/20/2015,4927.75
CHE-388.735.979,04/14/2015,06/10/2015,06/09/2015,84479
CHE-436.921.257,04/16/2015,07/19/2015,07/18/2015,2517
CHE-112.205.951,04/16/2015,05/15/2015,05/13/2015,14245.25
CHE-107.541.510,04/17/2015,07/25/2015,08/25/2015,5214
CHE-110.229.427,04/17/2015,05/24/2015,05/20/2015,14068.95
CHE-104.552.677,04/18/2015,07/11/2015,07/08/2015,2443.8
CHE-287.003.435,04/19/2015,05/24/2015,05/15/2015,4094
CHE-273.147.077,04/22/2015,10/19/2015,10/19/2015,3976
CHE-141.919.524,04/23/2015,06/24/2015,06/22/2015,29940.5
CHE-109.793.257,04/24/2015,05/22/2015,05/22/2015,112037.11
CHE-477.519.764,04/25/2015,05/21/2015,05/15/2015,10865.6
CHE-499.741.103,04/26/2015,06/30/2015,07/17/2015,6027
CHE-105.791.282,04/26/2015,06/21/2015,06/22/2015,41049
CHE-216.731.683,04/27/2015,09/03/2015,09/02/2015,170249.89
CHE-327.777.809,04/27/2015,06/01/2015,05/29/2015,60038
CHE-291.904.523,04/27/2015,05/11/2015,05/10/2015,5007
CHE-109.793.257,04/28/2015,08/07/2015,08/04/2015,2735
CHE-273.147.077,04/29/2015,07/22/2015,07/20/2015,14487.8
CHE-105.901.109,05/01/2015,08/01/2015,07/28/2015,2900
CHE-167.150.860,05/04/2015,07/19/2015,07/15/2015,6465.65
CHE-113.570.828,05/04/2015,06/09/2015,06/05/2015,57336.6
CHE-118.129.096,05/05/2015,06/15/2015,07/13/2015,25011.45
CHE-216.731.683,05/05/2015,06/22/2015,07/07/2015,9314
CHE-115.471.861,05/05/2015,07/01/2015,,3574.5
CHE-105.791.282,05/06/2015,08/13/2015,09/13/2015,4331
CHE-174.838.851,05/06/2015,06/24/2015,07/19/2015,59126
CHE-109.793.257,05/07/2015,08/13/2015,07/28/2015,34156.05
CHE-436.921.257,05/07/2015,07/07/2015,07/06/2015,47938
CHE-105.791.282,05/09/2015,07/02/2015,06/27/2015,7058.55
CHE-477.519.764,05/12/2015,06/13/2015,06/12/2015,10463
CHE-216.731.683,05/13/2015,07/07/2015,07/05/2015,15456
CHE-175.829.419,05/16/2015,08/05/2015,08/06/2015,9430.96
CHE-105.224.441,05/21/2015,07/22/2015,07/16/2015,26672.9
CHE-231.609.181,05/21/2015,06/14/2015,07/02/2015,9365
CHE-113.570.828,05/22/2015,08/22/2015,08/13/2015,35524.7
CHE-115.608.621,05/23/2015,06/23/2015,06/20/2015,10562.19
CHE-113.570.828,05/24/2015,08/20/2015,08/19/2015,12234
CHE-273.147.077,05/25/2015,08/02/2015,,37284
CHE-108.367.756,05/27/2015,07/05/2015,07/11/2015,5490
CHE-113.165.735,05/27/2015,06/27/2015,06/15/2015,6508
CHE-174.838.851,05/30/2015,06/12/2015,,10954
CHE-269.097.953,05/31/2015,08/07/2015,08/08/2015,13744
CHE-115.016.483,05/31/2015,07/04/2015,06/28/2015,7370
CHE-225.821.568,06/03/2015,08/20/2015,08/16/2015,3085
CHE-216.731.683,06/04/2015,09/04/2015,08/31/2015,84159.4
CHE-102.754.082,06/05/2015,08/01/2015,07/23/2015,12437.11
CHE-105.224.441,06/06/2015,07/26/2015,07/11/2015,11403
CHE-115.608.621,06/08/2015,08/24/2015,08/21/2015,17504
CHE-174.838.851,06/10/2015,07/08/2015,07/08/2015,7308
CHE-135.974.416,06/11/2015,08/06/2015,07/29/2015,81614.65
CHE-327.777.809,06/11/2015,07/23/2015,07/21/2015,9401
CHE-229.836.440,06/11/2015,07/09/2015,07/07/2015,1824.63
CHE-327.777.809,06/14/2015,08/24/2015,,6873
CHE-105.791.282,06/18/2015,08/15/2015,08/13/2015,24101
CHE110.292.427,06/19/2015,09/22/2015,09/21/2015,9249.35
CHE-216.731.683,06/20/2015,08/13/2015,,2890.8
CHE-113.165.735,06/22/2015,08/02/2015,08/07/2015,20474
CHE-12.754.082,06/23/2015,07/12/2015,07/10/2015,21830
CHE-325.933.806,06/24/2015,09/19/2015,09/17/2015,4025
CHE-105.224.441,06/25/2015,08/25/2015,09/10/2015,22229
CHE-325.933.806,06/25/2015,08/31/2015,09/04/2015,90593
CHE-112.813.187,06/26/2015,09/15/2015,08/26/2015,10136.05
CHE-114.927.443,06/28/2015,08/13/2015,08/27/2015,5368.5
CHE-115.608.621,06/29/2015,08/26/2015,08/24/2015,9363.6
CHE-115.092.487,06/29/2015,07/24/2015,07/11/2015,3805
CHE-115.471.861,07/01/2015,09/15/2015,09/14/2015,3745
